movie,movieYear,url,dialogue
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
Young Mr. Lincoln ,1939,https://www.filmsite.org/wavfiles/youngmrlincoln.wav," - ""Ain't you goin' back, Abe?"" - ""No, I think I might go on apiece. Maybe to the top of that hill.""   "
